name,phrase,numberOfWords
REY,What are you doing,4
FINN,Don't leave without me,4
REY,You can't just go I won't let you,8
FINN,I'm not who you think I am,7
REY,Finn what are you talking about,6
FINN,I'm not Resistance I'm not a hero I'm a Stormtrooper,10
FINN,Right into you And you looked at me like no one ever had I was ashamed of what I was But I'm done with the First Order I'm never going back Rey come with me,35
REY,Don't go,2
FINN,Take care of yourself Please,5
REY,What was that I shouldn't have gone in there,9
MAZ,That lightsaber was Luke's And his father's before him and now it calls to you,15
REY,I have to get back to Jakku,7
MAZ,Han told me Dear child I see your eyes You already know the truth Whomever you're waiting for on Jakku they're never coming back But there's someone who still could,30
REY,Luke,1
MAZ,The belonging you seek is not behind you It is ahead I am no Jedi but I know the Force It moves through and surrounds every living thing Close your eyes Feel it,33
MAZ,The light It's always been there It will guide you The saber Take it,14
REY,I'm never touching that again I don't want any part of this,12
GENERAL HUX,Today is the end of the Republic The end of a regime that acquiesces to disorder At this very moment in a system far from here the New Republic LIES to the GALAXY while secretly supporting the treachery of the loathsome Resistance This fierce machine which you have built upon which we stand will bring an end to the Senate To their cherished fleet All remaining systems will bow to the First Order And will remember this as the last day of the Republic,84
FINN,It was the Republic,4
FINN,The First Order they've done it Where's Rey,8
REY,What are you doing,4
REY,BB-8 No you can't you have to go back you're too important They'll help you,15
MAZ,I've had this for ages,5
MAZ,Kept it locked away,4
HAN,Where'd you get that,4
MAZ,A good question for another time,6
MAZ,Those beasts They're here,4
REY,Safety,1
REY,You have to keep going stay out of sight I'll try to fight 'em off I hope so too,19
HAN,Come on Chewie,3
MAZ,Rey and BB-8 they need you Now go,8
FINN,I need a weapon,4
MAZ,You have one,3
HAN,Hey can I try that,5
HAN,I like this thing,4
HAN,You okay Big deal,4
FINN,Thanks,1
HAN,It's the Resistance,3
POE,Go straight ahead and don't let these dogs scare you,10
HAN,Quick,1
FINN,Woohoo YEAH That's one helluva pilot,6
KYLO REN,The girl I've heard so much about,7
KYLO REN,The droid,2
KYLO REN,Where is it,3
KYLO REN,The map You've seen it,5
KYLO REN,Pull the division out Forget the droid We have what we need,12
FINN,No no no no REY,5
FINN,He took her Did you see that He took her She's gone,12
HAN,Yeah yeah I know,4
C-3PO,Goodness Han Solo It is I See- Threepio You probably don't recognize me because of the red arm Look who it is Did you see who Oh Excuse me Prinuh General Sorry Come along BB-8 Quickly,36
HAN,You changed your hair,4
LEIA,Same jacket,2
HAN,No new jacket,3
HAN, I saw him Leia I saw our son He was here,11
FINN,Poe Poe Dameron,3
FINN,You're alive,2
POE,So are you,3
FINN,What happened to you,4
POE,What happened I got thrown from the crash woke up at night no you no ship nothing,17
POE,BB-8 says that you saved him,6
FINN,No no no It wasn't just me,7
