name,phrase,numberOfWords
MOTTI,Don't try to frighten us with your sorcerer's ways Lord Vader Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes or given you clairvoyance enough to find the Rebel's hidden fort,39
VADER,I find your lack of faith disturbing,7
TARKIN,Enough of this Vader release him,6
VADER,As you wish,3
TARKIN,This bickering is pointless Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational We will then crush the Rebellion with one swift stroke,33
LUKE,It looks like Sandpeople did this all right Look here are Gaffi sticks Bantha tracks It's just I never heard of them hitting anything this big before,27
BEN,They didn't But we are meant to think they did These tracks are side by side Sandpeople always ride single file to hide there numbers,25
LUKE,These are the same Jawas that sold us R2D2 and C3PO,11
BEN,And these blast points too accurate for Sandpeople Only Imperial stormtroopers are so precise,14
LUKE,Why would Imperial troops want to slaughter Jawas,8
LUKE,If they traced the robots here they may have learned who they sold them to And that would lead them home,21
BEN,Wait Luke It's too dangerous,5
LUKE,Uncle Owen Aunt Beru Uncle Owen,6
VADER,And now Your Highness we will discuss the location of your hidden Rebel base,14
BEN,There's nothing you could have done Luke had you been there You'd have been killed too and the droids would be in the hands of the Empire,27
LUKE,I want to come with you to Alderaan There's nothing here for me now I want to learn the ways of the Force and become a Jedi like my father,30
BEN,Mos Eisley Spaceport You will never find a more wretched hive of scum and villainy We must be cautious,19
TROOPER,How long have you had these droids,7
LUKE,About three or four seasons,5
BEN,They're for sale if you want them,7
TROOPER,Let me see your identification,5
BEN,You don't need to see his identification,7
TROOPER,We don't need to see his identification,7
BEN,These are not the droids your looking for,8
TROOPER,These are not the droids we're looking for,8
BEN,He can go about his business,6
TROOPER,You can go about your business,6
BEN,Move along,2
TROOPER,Move along Move along,4
C3PO,I can't abide these Jawas Disgusting creatures,7
LUKE,Go on go on I can't understand how we got by those troopers I thought we were dead,18
BEN,The Force can have a strong influence on the weak-minded You will find it a powerful ally,17
LUKE,Do you really think we're going to find a pilot here that'll take us to Alderaan,16
BEN,Well most of the best freighter pilots can be found here Only watch your step This place can be a little rough,22
LUKE,I'm ready for anything,4
C3PO,Come along R2D2,3
BARTENDER,We don't serve their kind here,6
LUKE,What,1
BARTENDER,Your droids They'll have to wait outside We don't want them here,12
LUKE,Listen why don't you wait out by the speeder We don't want any trouble,14
C3PO,I heartily agree with you sir,6
CREATURE,Negola dewaghi wooldugger,3
HUMAN,He doesn't like you,4
LUKE,I'm sorry,2
HUMAN,I don't like you either,5
HUMAN,Don't insult us You just watch yourself We're wanted men I have the death sentence in twelve systems,18
LUKE,I'll be careful than,4
HUMAN,You'll be dead,3
BEN,This little one isn't worth the effort Come let me buy you something,13
BARTENDER,No blasters No blaster,4
BEN,This is Chewbacca He's first-mate on a ship that might suit our needs,13
C3PO,I don't like the look of this,7
HAN,Han Solo I'm captain of the Millennium Falcon Chewie here tells me you're looking for passage to the Alderaan system,20
BEN,Yes indeed If it's a fast ship,7
HAN,Fast ship You've never heard of the Millennium Falcon,9
BEN,Should I have,3
HAN,It's the ship that made the Kessel run in less than twelve parsecs,13
HAN,I've outrun Imperial starships not the local bulk-cruisers mind you I'm talking about the big Corellian ships now She's fast enough for you old man What's the cargo,28
BEN,Only passengers Myself the boy two droids and no questions asked,11
HAN,What is it Some kind of local trouble,8
BEN,Let's just say we'd like to avoid any Imperial entanglements,10
HAN,Well that's the trick isn't it And it's going to cost you something extra Ten thousand in advance,18
LUKE,Ten thousand We could almost buy our own ship for that,11
HAN,But who's going to fly it kid You,8
LUKE,You bet I could I'm not such a bad pilot myself We don't have to sit here and listen,19
BEN,We haven't that much with us But we could pay you two thousand now plus fifteen when we reach Alderaan,20
HAN,Seventeen huh,2
HAN,Okay You guys got yourself a ship We'll leave as soon as you're ready Docking bay Ninety-four,17
BEN,Ninety-four,1
HAN,Looks like somebody's beginning to take an interest in your handiwork,11
TROOPER,All right we'll check it out,6
HAN,Seventeen thousand Those guys must really be desperate This could really save my neck Get back to the ship and get her ready,23
BEN,You'll have to sell your speeder,6
LUKE,That's okay I'm never coming back to this planet again,10
GREEDO,Going somewhere Solo,3
HAN,Yes Greedo As a matter of fact I was just going to see your boss Tell Jabba that I've got his money,22
GREEDO,It's too late You should have paid him when you had the chance Jabba's put a price on your head so large that every bounty hunter in the galaxy will be looking for you I'm lucky I found you first,40
HAN,Yeah but this time I got the money,8
GREEDO,If you give it to me I might forget I found you,12
HAN,I don't have it with me Tell Jabba,8
GREEDO,Jabba's through with you He has no time for smugglers who drop their shipments at the first sign of an Imperial cruiser,22
HAN,Even I get boarded sometimes Do you think I had a choice,12
GREEDO,You can tell that to Jabba He may only take your ship,12
HAN,Over my dead body,4
GREEDO,That's the idea I've been looking forward to killing you for a long time,14
HAN,Yes I'll bet you have,5
HAN,Sorry about the mess,4
VADER,Her resistance to the mind probe is considerable It will be some time before we can extract any information from her,21
IMPERIAL OFFICER,The final check-out is complete All systems are operational What course shall we set,14
TARKIN,Perhaps she would respond to an alternative form of persuasion,10
VADER,What do you mean,4
TARKIN,I think it is time we demonstrate the full power of this stationSet your course for Princess Leia's home planet of Alderaan,22
TROOPER,With pleasure,2
C3PO,Lock the door R2D2,4
TROOPER,All right check that side of the street It's secure Move on to the next door,16
C3PO,I would much rather have gone with Master Luke than stay here with you I don't know what all the trouble is about but I'm sure it must be your fault,31
C3PO,You watch your language,4
LUKE,He says it's the best he can do Since the XP-38 came out they're just not in demand,18
BEN,It will be enough,4
BEN,If the ship's as fast as he's boasting we ought to do well,13
JABBA,Come on out Solo,4
HAN,I've been waiting for you Jabba,6
JABBA,I expected you would be,5
HAN,I'm not the type to run,6
JABBA,Han my boy there are times when you disappoint me why haven't you paid me And why did you have to fry poor Greedo like that after all we've been through together,32
HAN,You sent Greedo to blast me,6
JABBA,Han why you're the best smuggler in the business You're too valuable to fry He was only relaying my concern at your delays He wasn't going to blast you,29
HAN,I think he thought he was Next time don't send one of those twerps If you've got something to say to me come see me yourself,26
JABBA,Han Han If only you hadn't had to dump that shipment of spice you understand I just can't make an exception Where would I be if every pilot who smuggled for me dumped their shipment at the first sign of an Imperial starship It's not good business,47
HAN,You know even I get boarded sometimes Jabba I had no choice but I've got a charter now and I can pay you back plus a little extra I just need some more time,34
JABBA,Put your blasters away Han my boy I'm only doing this because you're the best and I need you So for an extra say twenty percent I'll give you a little more time but this is it If you disappoint me again I'll put a price on your head so large you won't be able to go near a civilized system for the rest of your short life,68
HAN,Jabba I'll pay you because it's my pleasure,8
LUKE,What a piece of junk,5
HAN,She'll make point five beyond the speed of light She may not look like much but she's got it where it counts kid I've added some special modifications myself,29
HAN,We're a little rushed so if you'll hurry aboard we'll get out of here,14
C3PO,Hello sir,2
TROOPER,Which way,2
TROOPER,All right men Load your weapons,6
TROOPER,Stop that ship,3
TROOPER,Blast 'em,2
HAN,Chewie get us out of here,6
C3PO,Oh my I'd forgotten how much I hate space travel,10
HAN,It looks like an Imperial cruiser Our passengers must be hotter than I thought Try and hold them off Angle the deflector shield while I make the calculations for the jump to light speed,34
HAN,Stay sharp There are two more coming in; they're going to try to cut us off,16
LUKE,Why don't you outrun them I thought you said this thing was fast,13
HAN,Watch your mouth kid or you're going to find yourself floating home We'll be safe enough once we make the jump to hyperspace Besides I know a few maneuvers We'll lose them,32
HAN,Here's where the fun begins,5
BEN,How long before you can make the jump to light speed,11
HAN,It'll take a few moments to get the coordinates from the navi-computer,12
LUKE,Are you kidding At the rate they're gaining,8
HAN,Traveling through hyperspace isn't like dusting crops boy Without precise calculations we could fly right through a star or bounce too close to a supernova and that'd end your trip real quick wouldn't it,34
LUKE,What's that flashing,3
HAN,We're losing our deflector shield Go strap yourself in I'm going to make the jump to light speed,18
MOTTI,We've entered the Alderaan system,5
LEIA,Governor Tarkin I should have expected to find you holding Vader's leash I recognized your foul stench when I was brought on board,23
TARKIN,Charming to the last You don't know how hard I found it signing the order to terminate your life,19
LEIA,I surprised you had the courage to take the responsibility yourself,11
TARKIN,Princess Leia before your execution I would like you to be my guest at a ceremony that will make this battle station operational No star system will dare oppose the Emperor now,32
LEIA,The more you tighten your grip Tarkin the more star systems will slip through your fingers,16
